model,threshold,tn,fp,fn,tp,recall,f2,precision,f1,f05,fn_rate,fp_rate,business_value,positive_rate,score_type
HistGradientBoosting,0.85,17532,8,2127,333,0.1353658536585366,0.16353992731558786,0.9765395894428153,0.23777222420564084,0.435407949790795,0.8646341463414634,0.00045610034207525655,825300,0.01705,predict_proba
HistGradientBoosting,0.86,17534,6,2169,291,0.11829268292682926,0.14353358981947323,0.9797979797979798,0.21109902067464636,0.3988486842105263,0.8817073170731707,0.00034207525655644244,722100,0.01485,predict_proba
HistGradientBoosting,0.87,17534,6,2195,265,0.10772357723577236,0.13104539610325389,0.977859778597786,0.19406810692054194,0.37387133182844245,0.8922764227642277,0.00034207525655644244,657100,0.01355,predict_proba
HistGradientBoosting,0.88,17536,4,2234,226,0.091869918699187,0.11221449851042702,0.9826086956521739,0.16802973977695168,0.3343195266272189,0.908130081300813,0.00022805017103762827,561400,0.0115,predict_proba
HistGradientBoosting,0.89,17538,2,2269,191,0.07764227642276422,0.0951858865743048,0.9896373056994818,0.14398793818318883,0.29548267326732675,0.9223577235772358,0.00011402508551881414,475700,0.00965,predict_proba
HistGradientBoosting,0.9,17539,1,2299,161,0.06544715447154471,0.08048390321935613,0.9938271604938271,0.12280701754385964,0.25900900900900903,0.9345528455284553,5.701254275940707e-05,401600,0.0081,predict_proba
GradientBoosting,0.01,0,17540,0,2460,1.0,0.4121983914209115,0.123,0.21905609973285842,0.14916323065728837,0.0,1.0,-9636000,1.0,predict_proba
GradientBoosting,0.02,70,17470,0,2460,1.0,0.4131676184077931,0.12343201204214752,0.21974095578383207,0.14967145290825018,0.0,0.9960091220068416,-9573000,0.9965,predict_proba
GradientBoosting,0.03,885,16655,20,2440,0.991869918699187,0.42163469846207013,0.1277821419219691,0.22639758756668987,0.15474378488077117,0.008130081300813009,0.9495438996579247,-8889500,0.95475,predict_proba
GradientBoosting,0.04,2404,15136,68,2392,0.9723577235772358,0.4370067231803566,0.13646736649931537,0.2393436061636982,0.16480185195392164,0.027642276422764227,0.8629418472063854,-7642400,0.8764,predict_proba
GradientBoosting,0.05,4272,13268,161,2299,0.9345528455284553,0.4524343684811272,0.14768420376437336,0.255061851666944,0.1775892967494747,0.06544715447154471,0.7564424173318129,-6193700,0.77835,predict_proba
GradientBoosting,0.06,6192,11348,256,2204,0.8959349593495934,0.47110123119015046,0.1626328217237308,0.2752935298526105,0.19446601256441026,0.1040650406504065,0.6469783352337515,-4703200,0.6776,predict_proba
GradientBoosting,0.07,7919,9621,380,2080,0.8455284552845529,0.4828002414001207,0.1777625843944962,0.29376456464938916,0.2111075024358558,0.15447154471544716,0.5485176738882555,-3458900,0.58505,predict_proba
GradientBoosting,0.08,9487,8053,513,1947,0.7914634146341464,0.49067540322580644,0.1947,0.31252006420545747,0.22927461139896374,0.20853658536585365,0.4591220068415051,-2380200,0.5,predict_proba
GradientBoosting,0.09,10736,6804,634,1826,0.7422764227642277,0.49431510557661074,0.2115874855156431,0.32930568079350764,0.24689021092482422,0.2577235772357724,0.3879133409350057,-1558600,0.4315,predict_proba
GradientBoosting,0.1,11799,5741,752,1708,0.6943089430894309,0.49395569437214415,0.22929252248623977,0.34473710767988697,0.2647569444444444,0.3056910569105691,0.327309007981756,-896900,0.37245,predict_proba
GradientBoosting,0.11,12668,4872,859,1601,0.6508130081300812,0.49071292833936125,0.24733508419589062,0.35844621067950294,0.2823433972911964,0.3491869918699187,0.2777651083238312,-382300,0.32365,predict_proba
GradientBoosting,0.12,13411,4129,957,1503,0.6109756097560975,0.4857161323681489,0.2668678977272727,0.37147800296589223,0.3007443572914999,0.38902439024390245,0.2354047890535918,41400,0.2816,predict_proba
GradientBoosting,0.13,14043,3497,1063,1397,0.5678861788617886,0.47407357133161393,0.2854515733551287,0.3799292901822138,0.316981303321837,0.4321138211382114,0.19937286202964652,345200,0.2447,predict_proba
GradientBoosting,0.14,14532,3008,1151,1309,0.5321138211382114,0.46231546231546233,0.3032198285846653,0.3863066253504501,0.33176196269261965,0.4678861788617886,0.17149372862029647,565300,0.21585,predict_proba
GradientBoosting,0.15,14960,2580,1223,1237,0.5028455284552845,0.45288130628981477,0.32407649986900705,0.3941373267484467,0.34888312274368233,0.4971544715447154,0.14709236031927023,770500,0.19085,predict_proba
