threshold,tn,fp,fn,tp,tn_value,fp_value,fn_value,tp_value,business_value,avg_value_per_vehicle,recall,f2,precision,f1,f05,positive_rate,fn_rate,fp_rate,predicted_bad_buy,predicted_good_buy,roc_auc,average_precision
0.5,9762,3040,690,1105,0,-2736000,0,2762500,26500,1.8154415290813182,0.6155988857938719,0.4878587196467991,0.26658624849215923,0.3720538720538721,0.3006802721088435,0.28396245803932313,0.38440111420612816,0.23746289642243398,4145,10452,0.7677792771759635,0.4431968904841776
0.49,9574,3228,658,1137,0,-2905200,0,2842500,-62700,-4.295403165033911,0.6334261838440112,0.4924209614551754,0.2604810996563574,0.3691558441558442,0.295247987535705,0.29903404809207373,0.3665738161559889,0.25214810185908454,4365,10232,0.7677792771759635,0.4431968904841776
0.48,9361,3441,623,1172,0,-3096900,0,2930000,-166900,-11.433856271836678,0.6529247910863509,0.4969049436106165,0.25406460004335574,0.365792759051186,0.28942559391514794,0.31602384051517435,0.347075208913649,0.26878612716763006,4613,9984,0.7677792771759635,0.4431968904841776
0.47,9143,3659,596,1199,0,-3293100,0,2997500,-295600,-20.250736452695758,0.667966573816156,0.4980063133410866,0.24680938657883902,0.3604388997444762,0.28242332877938475,0.3328081112557375,0.332033426183844,0.2858147164505546,4858,9739,0.7677792771759635,0.4431968904841776
0.46,8909,3893,562,1233,0,-3503700,0,3082500,-421200,-28.85524422826608,0.686908077994429,0.5009751340809361,0.24053843152555598,0.3563068920676203,0.2764697968518768,0.35116804822908815,0.313091922005571,0.30409311045149195,5126,9471,0.7677792771759635,0.4431968904841776
0.45,8685,4117,538,1257,0,-3705300,0,3142500,-562800,-38.55586764403645,0.7002785515320334,0.5006372470925602,0.23390398213621139,0.35067652392244386,0.26984672190975056,0.3681578406521888,0.29972144846796656,0.3215903765036713,5374,9223,0.7677792771759635,0.4431968904841776
0.44,8447,4355,514,1281,0,-3919500,0,3202500,-717000,-49.11968212646434,0.7136490250696379,0.49976591760299627,0.2272888573456352,0.3447719014937424,0.2631578947368421,0.3861067342604645,0.2863509749303621,0.34018122168411186,5636,8961,0.7677792771759635,0.4431968904841776
0.43,8200,4602,489,1306,0,-4141800,0,3265000,-876800,-60.067137082962255,0.7275766016713092,0.49893031784841074,0.22105619498984427,0.33908866675321303,0.2568136233138003,0.40474070014386515,0.2724233983286908,0.35947508201843464,5908,8689,0.7677792771759635,0.4431968904841776
0.42,7950,4852,460,1335,0,-4366800,0,3337500,-1029300,-70.5144892786189,0.7437325905292479,0.499364105633276,0.2157750121221917,0.33450263091956906,0.251478732622537,0.4238542166198534,0.2562674094707521,0.37900328073738476,6187,8410,0.7677792771759635,0.4431968904841776
0.41,7703,5099,439,1356,0,-4589100,0,3390000,-1199100,-82.14701651024183,0.7554317548746519,0.49724972497249725,0.21006971340046476,0.3287272727272727,0.24551873981531777,0.4422141535932041,0.2445682451253482,0.39829714107170755,6455,8142,0.7677792771759635,0.4431968904841776
0.4,7471,5331,415,1380,0,-4797900,0,3450000,-1347900,-92.34089196410221,0.7688022284122563,0.4967244978763228,0.2056325435851587,0.32447683987773335,0.2409302000768183,0.45975200383640474,0.23119777158774374,0.4164193094828933,6711,7886,0.7677792771759635,0.4431968904841776
0.39,7217,5585,397,1398,0,-5026500,0,3495000,-1531500,-104.91881893539768,0.7788300835654596,0.4935395043423004,0.20020048689674924,0.31852358168147643,0.23513977192451307,0.47838596971980546,0.2211699164345404,0.43625995938134665,6983,7614,0.7677792771759635,0.4431968904841776
0.38,6976,5826,370,1425,0,-5243400,0,3562500,-1680900,-115.15379872576557,0.7938718662952646,0.49372877832444045,0.19652461729416631,0.3150563785098386,0.2313386798272671,0.4967459066931561,0.20612813370473537,0.4550851429464146,7251,7346,0.7677792771759635,0.4431968904841776
0.37,6688,6114,343,1452,0,-5502600,0,3630000,-1872600,-128.2866342399123,0.8089136490250697,0.49233690492336907,0.19191118160190326,0.3102232667450059,0.2264574690414548,0.5183256833595944,0.19108635097493037,0.47758162787064523,7566,7031,0.7677792771759635,0.4431968904841776
